City_ID,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
281,collinsville,38.6703,-89.9846,77.18,74,100,10.36,US,1723069506
282,serenje,-13.2325,30.2352,56.37,46,5,4.99,ZM,1723069507
283,richland center,43.3347,-90.3868,78.78,62,11,4.52,US,1723069508
284,garoowe,8.4054,48.4845,77.74,66,25,24.65,SO,1723069509
285,zliten,32.4674,14.5687,80.78,81,0,6.67,LY,1723069510
286,ancud,-41.8697,-73.8203,44.24,82,3,1.68,CL,1723069511
287,susuman,62.7833,148.1667,50.76,80,100,1.9,RU,1723069512
288,crane,31.3974,-102.3501,100.02,17,0,0.67,US,1723069513
289,centar,45.8131,15.9775,74.88,69,0,4.61,HR,1723069514
290,saposoa,-6.934,-76.7716,84.38,61,96,1.68,PE,1723069515
291,tazovsky,67.4667,78.7,45.18,83,100,13.09,RU,1723069516
292,acarau,-2.8856,-40.12,78.49,79,8,19.01,BR,1723069514
293,kavieng,-2.5744,150.7967,82.98,77,8,12.91,PG,1723069518
294,junin de los andes,-39.9504,-71.0694,36.18,75,11,1.77,AR,1723069519
295,winfield,37.2398,-96.9956,97.57,34,0,8.05,US,1723069292
296,flin flon,54.7682,-101.865,60.64,59,75,6.91,CA,1723069522
297,phan rang-thap cham,11.5667,108.9833,76.5,89,89,2.73,VN,1723069523
298,san julian,21.0167,-102.1667,79.59,39,79,7.74,MX,1723069524
299,usakos,-22.0,15.6,61.7,40,6,3.38,NA,1723069525
300,castillos,-34.1667,-53.8333,50.41,70,72,5.86,UY,1723069526
301,kyzyl-mazhalyk,51.1333,90.6,56.01,67,54,0.56,RU,1723069527
302,east london,-33.0153,27.9116,66.67,31,30,4.23,ZA,1723069528
303,ivdel',60.6911,60.4206,42.57,96,1,4.72,RU,1723069529
304,naha,26.2125,127.6811,85.91,88,20,8.05,JP,1723069530
305,san luis de la loma,17.2706,-100.8939,87.98,66,55,12.71,MX,1723069531
306,isafjordur,66.0755,-23.124,42.64,91,90,3.04,IS,1723069532
307,beau vallon,-20.4189,57.6953,70.03,78,20,6.91,MU,1723069533
308,sultanah,24.4926,39.5857,93.65,36,0,5.75,SA,1723069534
309,nova xavantina,-14.6667,-52.35,79.93,31,0,4.7,BR,1723069535
310,dwarka,22.2394,68.9678,81.79,84,98,20.76,IN,1723069537
311,yangquan,37.8575,113.5633,69.98,92,97,1.07,CN,1723069538
312,kirakira,-10.4544,161.9205,79.56,82,100,13.82,SB,1723069539
313,imranli,39.8754,38.1136,58.8,92,1,4.99,TR,1723069540
314,olean,42.0776,-78.4297,71.65,68,100,5.75,US,1723069541
315,poyang,28.9924,116.6675,81.16,81,6,6.11,CN,1723069542
316,turtas,58.9417,69.1325,45.75,80,22,4.94,RU,1723069543
317,gamboula,4.1178,15.1393,72.5,80,100,2.48,CF,1723069544
